idVariable,fecha,valor
7,2024-10-21,41.3125
7,2024-10-22,42.3125
7,2024-10-23,40.875
7,2024-10-24,42.375
7,2024-10-25,41.0625
7,2024-10-28,40.3125
7,2024-10-29,42.5
7,2024-10-30,41.4375
7,2024-10-31,40.5625
7,2024-11-01,37.5
7,2024-11-04,36.6875
7,2024-11-05,36.3125
7,2024-11-07,35.0
7,2024-11-08,36.0
7,2024-11-11,35.5
7,2024-11-12,36.375
7,2024-11-13,36.125
7,2024-11-14,35.6875
7,2024-11-15,35.8125
7,2024-11-19,34.6875
7,2024-11-20,36.1875
7,2024-11-21,36.875
7,2024-11-22,35.8125
7,2024-11-25,35.5
7,2024-11-26,37.3125
7,2024-11-27,36.375
7,2024-11-28,37.0
7,2024-11-29,36.5
7,2024-12-02,34.9375
7,2024-12-03,36.9375
7,2024-12-04,34.6875
7,2024-12-05,35.375
7,2024-12-06,32.5625
7,2024-12-09,31.875
7,2024-12-10,32.6875
7,2024-12-11,31.3125
7,2024-12-12,32.0625
7,2024-12-13,32.0625
7,2024-12-16,31.9375
7,2024-12-17,32.5
7,2024-12-18,32.375
7,2024-12-19,31.6875
