idVariable,fecha,valor
1,2024-10-21,28314.0
1,2024-10-22,28416.0
1,2024-10-23,28511.0
1,2024-10-24,29057.0
1,2024-10-25,29163.0
1,2024-10-28,29368.0
1,2024-10-29,29669.0
1,2024-10-30,29863.0
1,2024-10-31,28618.0
1,2024-11-01,29603.0
1,2024-11-04,30182.0
1,2024-11-05,30432.0
1,2024-11-07,29668.0
1,2024-11-08,29838.0
1,2024-11-11,29859.0
1,2024-11-12,29962.0
1,2024-11-13,30023.0
1,2024-11-14,30193.0
1,2024-11-15,29878.0
1,2024-11-19,30274.0
1,2024-11-20,30494.0
1,2024-11-21,30845.0
1,2024-11-22,30874.0
1,2024-11-25,30879.0
1,2024-11-26,30928.0
1,2024-11-27,31484.0
1,2024-11-28,31637.0
1,2024-11-29,30214.0
1,2024-12-02,31314.0
1,2024-12-03,31240.0
1,2024-12-04,31266.0
1,2024-12-05,31534.0
1,2024-12-06,31531.0
1,2024-12-09,31512.0
1,2024-12-10,31619.0
1,2024-12-11,31988.0
1,2024-12-12,31849.0
1,2024-12-13,31937.0
1,2024-12-16,31744.0
1,2024-12-17,32257.0
1,2024-12-18,32255.0
